CPU counts:  24
gradient ascent n=300, tries=300, d=5, alpha=[0.26675964 0.23859708 0.20663113 0.16871361 0.11929854]
EYD tableau: [92, 75, 57, 46, 30] with error 0.0513
MLE tableau: [78.37912322 78.22789265 54.01408342 53.98933909 35.38956161] with error 0.0334
EYD tableau: [98, 67, 58, 42, 35] with error 0.0599
MLE tableau: [92.82789265 55.98933909 55.97912322 47.61408342 47.58956161] with error 0.082
EYD tableau: [89, 81, 62, 37, 31] with error 0.0613
MLE tableau: [75.57912322 75.42789265 75.38933909 36.81408342 36.78956161] with error 0.0608
EYD tableau: [83, 77, 59, 52, 29] with error 0.0326
MLE tableau: [66.82789265 66.81408342 66.78933909 66.77912322 32.78956161] with error 0.0699
EYD tableau: [106, 80, 53, 38, 23] with error 0.1146
MLE tableau: [99.62789265 80.97912322 50.18933909 42.61408342 26.58956161] with error 0.0967
EYD tableau: [93, 72, 55, 46, 34] with error 0.0446
MLE tableau: [84.62789265 69.37912322 48.78933909 48.61408342 48.58956161] with error 0.058
EYD tableau: [83, 75, 55, 52, 35] with error 0.0259
MLE tableau: [64.37912322 64.22789265 64.21408342 64.18933909 42.98956161] with error 0.0767
EYD tableau: [87, 75, 57, 45, 36] with error 0.0353
MLE tableau: [75.17912322 75.02789265 49.98956161 49.98933909 49.81408342] with error 0.0582
EYD tableau: [88, 66, 65, 52, 29] with error 0.0412
MLE tableau: [66.82789265 66.81408342 66.78933909 66.77912322 32.78956161] with error 0.0699
EYD tableau: [85, 77, 59, 50, 29] with error 0.0346
MLE tableau: [66.82789265 66.81408342 66.78933909 66.77912322 32.78956161] with error 0.0699
EYD tableau: [89, 80, 52, 44, 35] with error 0.058
MLE tableau: [80.42789265 80.37912322 46.41408342 46.38956161 46.38933909] with error 0.066
EYD tableau: [85, 71, 58, 53, 33] with error 0.0245
MLE tableau: [65.37912322 65.22789265 65.21408342 65.18933909 38.98956161] with error 0.07
EYD tableau: [84, 74, 62, 43, 37] with error 0.0254
MLE tableau: [69.57912322 69.42789265 69.38933909 45.81408342 45.78956161] with error 0.058
EYD tableau: [84, 75, 59, 47, 35] with error 0.0246
MLE tableau: [68.37912322 68.22789265 68.18933909 47.61408342 47.58956161] with error 0.06
EYD tableau: [91, 72, 61, 46, 30] with error 0.038
MLE tableau: [79.82789265 65.98933909 65.97912322 53.21408342 34.98956161] with error 0.022
EYD tableau: [83, 68, 64, 48, 37] with error 0.0206
MLE tableau: [62.98933909 62.97912322 62.82789265 62.81408342 48.38956161] with error 0.0855
EYD tableau: [97, 77, 59, 43, 24] with error 0.0746
MLE tableau: [86.02789265 78.97912322 59.58933909 48.41408342 26.98956161] with error 0.0447
EYD tableau: [92, 78, 57, 45, 28] with error 0.0613
MLE tableau: [80.42789265 80.37912322 53.41408342 53.38933909 32.38956161] with error 0.0399
EYD tableau: [92, 74, 57, 52, 25] with error 0.0526
MLE tableau: [81.42789265 63.61408342 63.58933909 63.57912322 27.78956161] with error 0.0532
EYD tableau: [96, 72, 63, 41, 28] with error 0.058
MLE tableau: [87.42789265 68.58933909 68.57912322 40.01408342 35.38956161] with error 0.0466
EYD tableau: [96, 80, 50, 44, 30] with error 0.0813
MLE tableau: [84.97912322 84.82789265 43.41408342 43.38956161 43.38933909] with error 0.086
EYD tableau: [85, 77, 62, 47, 29] with error 0.0347
MLE tableau: [70.57912322 70.42789265 70.38933909 55.41408342 33.18956161] with error 0.044
EYD tableau: [90, 78, 59, 47, 26] with error 0.0546
MLE tableau: [78.02789265 77.97912322 57.41408342 57.38933909 29.18956161] with error 0.0439
EYD tableau: [91, 76, 58, 42, 33] with error 0.0513
MLE tableau: [78.17912322 78.02789265 59.18933909 42.38956161 42.21408342] with error 0.0429
EYD tableau: [94, 78, 60, 40, 28] with error 0.068
MLE tableau: [80.42789265 80.37912322 65.18933909 37.01408342 36.98956161] with error 0.0453
EYD tableau: [91, 83, 52, 42, 32] with error 0.0746
MLE tableau: [83.62789265 83.57912322 44.38933909 44.21408342 44.18956161] with error 0.08
EYD tableau: [91, 79, 50, 46, 34] with error 0.0613
MLE tableau: [81.02789265 80.97912322 46.01408342 45.98956161 45.98933909] with error 0.0687
EYD tableau: [84, 70, 60, 53, 33] with error 0.0212
MLE tableau: [65.37912322 65.22789265 65.21408342 65.18933909 38.98956161] with error 0.07
EYD tableau: [90, 71, 58, 48, 33] with error 0.0332
MLE tableau: [80.62789265 59.97912322 59.81408342 59.78933909 39.78956161] with error 0.0459
EYD tableau: [100, 75, 54, 42, 29] with error 0.078
MLE tableau: [93.42789265 74.17912322 48.21408342 48.18933909 35.98956161] with error 0.054
EYD tableau: [90, 72, 59, 45, 34] with error 0.0346
MLE tableau: [78.82789265 65.38933909 65.37912322 45.21408342 45.18956161] with error 0.0426
EYD tableau: [92, 72, 62, 54, 20] with error 0.0526
MLE tableau: [69.61408342 69.58933909 69.57912322 69.42789265 21.78956161] with error 0.088
EYD tableau: [82, 74, 62, 51, 31] with error 0.016
MLE tableau: [66.17912322 66.02789265 66.01408342 65.98933909 35.78956161] with error 0.0647
EYD tableau: [85, 70, 64, 48, 33] with error 0.0233
MLE tableau: [65.38933909 65.37912322 65.22789265 65.21408342 38.78956161] with error 0.0695
EYD tableau: [88, 73, 60, 49, 30] with error 0.0313
MLE tableau: [70.97912322 64.98933909 64.82789265 64.81408342 34.38956161] with error 0.0568
EYD tableau: [94, 76, 61, 39, 30] with error 0.0613
MLE tableau: [81.62789265 71.58933909 71.57912322 37.61408342 37.58956161] with error 0.0433
EYD tableau: [91, 81, 53, 48, 27] with error 0.068
MLE tableau: [81.82789265 81.77912322 52.61408342 52.58933909 31.18956161] with error 0.0466
EYD tableau: [95, 78, 52, 45, 30] with error 0.0713
MLE tableau: [83.02789265 82.97912322 44.78933909 44.61408342 44.58956161] with error 0.0773
EYD tableau: [95, 70, 55, 46, 34] with error 0.0499
MLE tableau: [88.82789265 62.37912322 49.61408342 49.58956161 49.58933909] with error 0.0753
EYD tableau: [92, 76, 61, 44, 27] with error 0.0546
MLE tableau: [75.17912322 75.02789265 71.18933909 47.61408342 30.98956161] with error 0.0422
EYD tableau: [92, 69, 67, 46, 26] with error 0.0566
MLE tableau: [72.82789265 72.78933909 72.77912322 52.21408342 29.38956161] with error 0.0453
EYD tableau: [90, 71, 60, 48, 31] with error 0.0332
MLE tableau: [79.42789265 61.58933909 61.57912322 61.41408342 35.98956161] with error 0.0367
EYD tableau: [94, 77, 58, 45, 26] with error 0.0646
MLE tableau: [80.82789265 80.77912322 54.41408342 54.38933909 29.58956161] with error 0.0459
EYD tableau: [88, 75, 68, 41, 28] with error 0.058
MLE tableau: [75.02789265 74.98933909 74.97912322 39.41408342 35.58956161] with error 0.0547
EYD tableau: [87, 76, 63, 45, 29] with error 0.0413
MLE tableau: [72.42789265 72.38933909 72.37912322 49.01408342 33.78956161] with error 0.0373
EYD tableau: [82, 77, 68, 49, 24] with error 0.0447
MLE tableau: [68.41408342 68.38933909 68.37912322 68.22789265 26.58956161] with error 0.08
EYD tableau: [91, 65, 57, 50, 37] with error 0.0406
MLE tableau: [83.62789265 54.18933909 54.17912322 54.01408342 53.98956161] with error 0.084
EYD tableau: [95, 78, 61, 38, 28] with error 0.0713
MLE tableau: [80.42789265 80.37912322 67.78933909 35.78956161 35.61408342] with error 0.05
EYD tableau: [89, 70, 63, 47, 31] with error 0.0333
MLE tableau: [69.58933909 69.57912322 69.42789265 55.21408342 36.18956161] with error 0.0415
EYD tableau: [79, 70, 59, 51, 41] with error 0.0187
MLE tableau: [60.02789265 60.01408342 59.98956161 59.98933909 59.97912322] with error 0.1119
EYD tableau: [91, 72, 61, 47, 29] with error 0.038
MLE tableau: [80.82789265 62.01408342 61.98933909 61.97912322 33.18956161] with error 0.0406
EYD tableau: [97, 71, 56, 47, 29] with error 0.0566
MLE tableau: [91.02789265 58.57912322 58.41408342 58.38933909 33.58956161] with error 0.0626
EYD tableau: [91, 71, 65, 43, 30] with error 0.0466
MLE tableau: [73.22789265 73.18933909 73.17912322 41.61408342 38.78956161] with error 0.0527
EYD tableau: [84, 76, 63, 43, 34] with error 0.0313
MLE tableau: [71.37912322 71.22789265 71.18933909 43.18956161 43.01408342] with error 0.0547
EYD tableau: [100, 66, 61, 46, 27] with error 0.0666
MLE tableau: [94.82789265 58.18933909 58.17912322 58.01408342 30.78956161] with error 0.074
EYD tableau: [92, 80, 54, 39, 35] with error 0.068
MLE tableau: [82.42789265 82.37912322 45.18933909 45.01408342 44.98956161] with error 0.0747
EYD tableau: [106, 62, 55, 44, 33] with error 0.0866
MLE tableau: [102.22789265  49.57912322  49.41408342  49.38956161  49.38933909] with error 0.1193
EYD tableau: [90, 79, 61, 43, 27] with error 0.058
MLE tableau: [74.38933909 74.37912322 74.22789265 45.61408342 31.38956161] with error 0.0501
EYD tableau: [93, 78, 53, 47, 29] with error 0.0646
MLE tableau: [81.37912322 81.22789265 51.41408342 51.38933909 34.58956161] with error 0.0393
EYD tableau: [81, 73, 67, 52, 27] with error 0.0293
MLE tableau: [67.57912322 67.42789265 67.41408342 67.38933909 30.18956161] with error 0.074
EYD tableau: [96, 73, 60, 40, 31] with error 0.058
MLE tableau: [88.22789265 66.78933909 66.77912322 39.18956161 39.01408342] with error 0.054
EYD tableau: [90, 72, 60, 51, 27] with error 0.0359
MLE tableau: [75.22789265 64.81408342 64.78933909 64.77912322 30.38956161] with error 0.0566
EYD tableau: [100, 71, 55, 40, 34] with error 0.0666
