CPU counts:  24
gradient ascent n=300, tries=300, d=5, alpha=[0.26675964 0.23859708 0.20663113 0.16871361 0.11929854]
EYD tableau: [52, 42, 37, 29, 26, 23, 22, 19, 15, 12, 10, 5, 5, 3, 0] with error 0.1752
MLE tableau: [3.81106022e+01 2.02391368e+01 2.02260912e+01 2.02130751e+01
 2.01862908e+01 2.01760739e+01 2.01672593e+01 2.01581792e+01
 2.01370768e+01 2.01281160e+01 2.00836296e+01 2.00795433e+01
 2.00421085e+01 2.00397716e+01 1.30456051e-02] with error 0.1247
EYD tableau: [50, 43, 36, 33, 28, 26, 21, 18, 13, 10, 8, 5, 4, 3, 2] with error 0.1971
MLE tableau: [26.61307513 26.58629083 26.56725927 26.53707685 26.52811604 26.51060217
 26.47954325 26.44210851 26.43913682 10.28362963 10.23977163 10.22609121
 10.21304561 10.17607389 10.15817917] with error 0.0838
EYD tableau: [48, 40, 37, 32, 29, 25, 22, 21, 17, 11, 8, 6, 3, 1, 0] with error 0.1805
MLE tableau: [2.42391368e+01 2.42260912e+01 2.42130751e+01 2.41862908e+01
 2.41760739e+01 2.41672593e+01 2.41581792e+01 2.41370768e+01
 2.41281160e+01 2.41106022e+01 2.40795433e+01 2.40421085e+01
 5.08362963e+00 5.03977163e+00 1.30456051e-02] with error 0.11
EYD tableau: [50, 42, 35, 30, 27, 24, 21, 17, 15, 12, 10, 8, 5, 3, 1] with error 0.1704
MLE tableau: [31.87954325 20.35817917 20.33707685 20.32811604 20.31060217 20.28362963
 20.24210851 20.23977163 20.23913682 20.22609121 20.21307513 20.18629083
 20.17607389 20.16725927  4.81304561] with error 0.1063
EYD tableau: [46, 43, 38, 31, 26, 24, 23, 18, 15, 12, 11, 7, 4, 1, 1] with error 0.1729
MLE tableau: [22.73707685 22.72811604 22.71060217 22.67954325 22.64210851 22.63977163
 22.63913682 22.62609121 22.61307513 22.58629083 22.57607389 22.56725927
 22.55817917  2.88362963  2.81304561] with error 0.1098
EYD tableau: [50, 39, 37, 34, 25, 22, 21, 19, 15, 14, 9, 8, 4, 3, 0] with error 0.1719
MLE tableau: [2.15281160e+01 2.15106022e+01 2.14836296e+01 2.14795433e+01
 2.14421085e+01 2.14397716e+01 2.14391368e+01 2.14260912e+01
 2.14130751e+01 2.13862908e+01 2.13760739e+01 2.13672593e+01
 2.13581792e+01 2.13370768e+01 1.30456051e-02] with error 0.1207
EYD tableau: [49, 43, 34, 32, 26, 25, 20, 18, 15, 13, 9, 7, 5, 2, 2] with error 0.1737
MLE tableau: [22.62609121 22.61307513 22.58629083 22.57607389 22.56725927 22.55817917
 22.53707685 22.52811604 22.51060217 22.47954325 22.44210851 22.43913682
  9.88362963  9.83977163  9.81304561] with error 0.0832
EYD tableau: [52, 45, 36, 29, 27, 24, 22, 20, 14, 11, 7, 6, 4, 3, 0] with error 0.1871
MLE tableau: [3.47106022e+01 3.45370768e+01 2.13581792e+01 2.13281160e+01
 2.12795433e+01 2.12421085e+01 2.12391368e+01 2.12130751e+01
 2.11862908e+01 2.11760739e+01 2.11672593e+01 1.32397716e+01
 1.32260912e+01 1.30836296e+01 1.30456051e-02] with error 0.084
EYD tableau: [50, 45, 37, 34, 25, 22, 19, 15, 12, 11, 11, 7, 5, 4, 3] with error 0.1919
MLE tableau: [32.12811604 32.11060217 32.07954325 31.93707685 15.68362963 15.64210851
 15.63977163 15.63913682 15.62609121 15.61307513 15.61304561 15.58629083
 15.57607389 15.56725927 15.55817917] with error 0.1204
EYD tableau: [48, 39, 34, 31, 31, 26, 20, 20, 16, 11, 9, 7, 6, 2, 0] with error 0.1737
MLE tableau: [2.15281160e+01 2.15106022e+01 2.14836296e+01 2.14795433e+01
 2.14421085e+01 2.14397716e+01 2.14391368e+01 2.14260912e+01
 2.14130751e+01 2.13862908e+01 2.13760739e+01 2.13672593e+01
 2.13581792e+01 2.13370768e+01 1.30456051e-02] with error 0.1207
EYD tableau: [51, 42, 40, 28, 26, 25, 22, 16, 16, 10, 9, 8, 5, 2, 0] with error 0.1837
MLE tableau: [3.09106022e+01 3.07370768e+01 3.07281160e+01 1.89760739e+01
 1.89672593e+01 1.89581792e+01 1.88836296e+01 1.88795433e+01
 1.88421085e+01 1.88397716e+01 1.88391368e+01 1.88260912e+01
 1.88130751e+01 1.87862908e+01 1.30456051e-02] with error 0.1014
EYD tableau: [49, 42, 38, 31, 25, 23, 21, 19, 16, 12, 11, 7, 4, 1, 1] with error 0.1719
MLE tableau: [22.73707685 22.72811604 22.71060217 22.67954325 22.64210851 22.63977163
 22.63913682 22.62609121 22.61307513 22.58629083 22.57607389 22.56725927
 22.55817917  2.88362963  2.81304561] with error 0.1098
EYD tableau: [49, 43, 40, 27, 26, 22, 20, 16, 14, 14, 12, 9, 5, 3, 0] with error 0.1719
MLE tableau: [2.85370768e+01 2.09760739e+01 2.09672593e+01 2.09581792e+01
 2.09281160e+01 2.09106022e+01 2.08836296e+01 2.08795433e+01
 2.08421085e+01 2.08397716e+01 2.08391368e+01 2.08260912e+01
 2.08130751e+01 2.07862908e+01 1.30456051e-02] with error 0.1082
EYD tableau: [53, 44, 39, 33, 31, 22, 21, 17, 16, 11, 8, 3, 2, 0, 0] with error 0.2219
MLE tableau: [2.64130751e+01 2.63862908e+01 2.63760739e+01 2.63672593e+01
 2.63581792e+01 2.63370768e+01 2.63281160e+01 2.63106022e+01
 2.62795433e+01 2.62421085e+01 2.62391368e+01 5.22609121e+00
 5.03977163e+00 8.36296333e-02 1.30456051e-02] with error 0.1307
EYD tableau: [50, 42, 35, 30, 28, 23, 20, 17, 16, 10, 10, 8, 6, 4, 1] with error 0.1719
MLE tableau: [31.13707685 31.11060217 18.38629083 18.37607389 18.36725927 18.35817917
 18.32811604 18.28362963 18.27954325 18.24210851 18.23977163 18.23913682
 18.22609121 18.21307513 18.21304561] with error 0.1163
EYD tableau: [48, 48, 40, 30, 26, 21, 17, 16, 15, 12, 11, 8, 5, 3, 0] with error 0.1952
MLE tableau: [3.39370768e+01 3.39281160e+01 3.39106022e+01 1.80836296e+01
 1.80795433e+01 1.80421085e+01 1.80397716e+01 1.80391368e+01
 1.80260912e+01 1.80130751e+01 1.79862908e+01 1.79760739e+01
 1.79672593e+01 1.79581792e+01 1.30456051e-02] with error 0.1192
EYD tableau: [49, 46, 38, 28, 28, 23, 18, 17, 15, 12, 9, 7, 5, 4, 1] with error 0.1852
MLE tableau: [33.52811604 33.51060217 33.33707685 16.75817917 16.68362963 16.67954325
 16.64210851 16.63977163 16.63913682 16.62609121 16.61307513 16.61304561
 16.58629083 16.57607389 16.56725927] with error 0.1267
EYD tableau: [56, 44, 38, 31, 27, 23, 21, 19, 12, 10, 7, 5, 4, 2, 1] with error 0.2085
MLE tableau: [44.71060217 24.07954325 24.04210851 24.03913682 24.01307513 23.98629083
 23.96725927 23.95817917 23.93707685 23.92811604  7.97607389  7.88362963
  7.83977163  7.82609121  7.81304561] with error 0.1059
EYD tableau: [52, 43, 35, 35, 27, 26, 19, 18, 13, 9, 9, 6, 4, 3, 1] with error 0.2037
MLE tableau: [26.71060217 26.67954325 26.64210851 26.63913682 26.61307513 26.58629083
 26.56725927 26.53707685 26.52811604 10.17607389 10.15817917 10.08362963
 10.03977163 10.02609121 10.01304561] with error 0.0851
EYD tableau: [45, 42, 40, 33, 27, 24, 19, 17, 14, 13, 11, 6, 5, 3, 1] with error 0.1804
MLE tableau: [22.04210851 22.03977163 22.03913682 22.02609121 22.01307513 21.98629083
 21.97607389 21.96725927 21.95817917 21.93707685 21.92811604 21.91060217
 21.87954325  7.21304561  7.08362963] with error 0.0953
EYD tableau: [53, 41, 37, 32, 31, 25, 21, 19, 12, 10, 9, 5, 4, 1, 0] with error 0.2071
MLE tableau: [2.70130751e+01 2.69862908e+01 2.69672593e+01 2.69370768e+01
 2.69281160e+01 2.69106022e+01 2.68795433e+01 2.68421085e+01
 2.68391368e+01 1.33760739e+01 1.33581792e+01 1.32397716e+01
 1.32260912e+01 4.48362963e+00 1.30456051e-02] with error 0.0848
EYD tableau: [59, 40, 34, 33, 23, 20, 19, 17, 15, 11, 9, 8, 5, 4, 3] with error 0.1905
MLE tableau: [51.71060217 17.82609121 17.81307513 17.81304561 17.78629083 17.77607389
 17.76725927 17.75817917 17.73707685 17.72811604 17.68362963 17.67954325
 17.64210851 17.63977163 17.63913682] with error 0.1638
EYD tableau: [53, 43, 35, 33, 31, 25, 22, 17, 13, 10, 8, 6, 3, 1, 0] with error 0.2104
MLE tableau: [2.73281160e+01 2.73106022e+01 2.72795433e+01 2.72421085e+01
 2.72391368e+01 2.72130751e+01 2.71862908e+01 2.71672593e+01
 2.71370768e+01 1.27581792e+01 1.26397716e+01 1.26260912e+01
 1.25760739e+01 4.28362963e+00 1.30456051e-02] with error 0.0907
EYD tableau: [53, 41, 35, 31, 24, 24, 20, 19, 14, 12, 12, 8, 4, 2, 1] with error 0.1723
MLE tableau: [41.31060217 19.67954325 19.64210851 19.63977163 19.63913682 19.62609121
 19.61307513 19.58629083 19.57607389 19.56725927 19.55817917 19.53707685
 19.52811604 19.48362963  4.01304561] with error 0.1246
EYD tableau: [43, 37, 36, 33, 28, 25, 24, 20, 14, 13, 10, 10, 4, 2, 1] with error 0.1563
MLE tableau: [22.38629083 22.37607389 22.36725927 22.35817917 22.33707685 22.32811604
 22.31060217 22.27954325 22.24210851 22.23977163 22.23913682 22.22609121
 22.21307513  5.08362963  5.01304561] with error 0.1018
EYD tableau: [50, 48, 38, 34, 28, 22, 18, 15, 13, 11, 9, 7, 6, 1, 0] with error 0.2152
MLE tableau: [3.23281160e+01 3.23106022e+01 3.22795433e+01 3.21862908e+01
 3.21370768e+01 1.54836296e+01 1.54421085e+01 1.54397716e+01
 1.54391368e+01 1.54260912e+01 1.54130751e+01 1.53760739e+01
 1.53672593e+01 1.53581792e+01 1.30456051e-02] with error 0.1192
EYD tableau: [58, 42, 34, 30, 28, 27, 21, 17, 12, 9, 9, 7, 3, 2, 1] with error 0.2071
MLE tableau: [49.31060217 21.16725927 21.15817917 21.13707685 21.12811604 21.07954325
 21.04210851 21.03913682 21.02609121 21.01307513 20.98629083 20.97607389
  6.41304561  6.28362963  6.23977163] with error 0.1183
EYD tableau: [54, 44, 36, 31, 30, 23, 21, 19, 15, 8, 7, 5, 4, 2, 1] with error 0.2052
MLE tableau: [37.31060217 25.21307513 25.18629083 25.16725927 25.15817917 25.13707685
 25.12811604 25.07954325 25.04210851 25.03913682  7.41304561  7.37607389
  7.28362963  7.23977163  7.22609121] with error 0.1006
EYD tableau: [51, 43, 41, 30, 27, 23, 17, 16, 13, 13, 8, 7, 5, 4, 2] with error 0.1952
MLE tableau: [32.71060217 32.67954325 32.53707685 32.52811604 15.48362963 15.44210851
 15.43977163 15.43913682 15.42609121 15.41307513 15.41304561 15.38629083
 15.37607389 15.36725927 15.35817917] with error 0.1251
EYD tableau: [49, 44, 37, 30, 28, 23, 20, 17, 16, 13, 8, 6, 5, 3, 1] with error 0.1819
MLE tableau: [23.78629083 23.77607389 23.76725927 23.75817917 23.73707685 23.72811604
 23.71060217 23.67954325 23.64210851 23.63913682 23.61307513  9.83977163
  9.82609121  9.81304561  9.68362963] with error 0.0776
EYD tableau: [48, 42, 35, 33, 27, 23, 19, 18, 15, 13, 11, 9, 3, 2, 2] with error 0.1719
MLE tableau: [22.16725927 22.15817917 22.13707685 22.12811604 22.11060217 22.07954325
 22.04210851 22.03977163 22.03913682 22.02609121 22.01307513 21.98629083
 21.97607389  6.61304561  6.48362963] with error 0.097
EYD tableau: [57, 43, 36, 34, 29, 25, 22, 15, 12, 9, 8, 5, 3, 1, 1] with error 0.2237
MLE tableau: [45.11060217 26.01307513 25.98629083 25.96725927 25.93707685 25.92811604
 25.87954325 25.84210851 25.83913682  8.01304561  7.97607389  7.95817917
  7.88362963  7.83977163  7.82609121] with error 0.1189
EYD tableau: [57, 40, 34, 33, 29, 25, 21, 14, 12, 11, 8, 6, 4, 3, 3] with error 0.2037
MLE tableau: [48.11060217 22.16725927 22.13707685 22.12811604 22.07954325 22.04210851
 22.03913682 22.01307513 21.98629083 12.62609121 12.61304561 12.57607389
 12.55817917 12.48362963 12.43977163] with error 0.0995
EYD tableau: [46, 43, 39, 31, 29, 25, 23, 19, 12, 11, 9, 6, 4, 3, 0] with error 0.1896
MLE tableau: [2.47281160e+01 2.47106022e+01 2.46795433e+01 2.46421085e+01
 2.46391368e+01 2.46130751e+01 2.45862908e+01 2.45672593e+01
 2.45581792e+01 2.45370768e+01 1.34836296e+01 1.34397716e+01
 1.34260912e+01 1.33760739e+01 1.30456051e-02] with error 0.0732
EYD tableau: [50, 42, 34, 34, 29, 24, 21, 18, 13, 11, 9, 9, 4, 2, 0] with error 0.1871
MLE tableau: [2.27862908e+01 2.27760739e+01 2.27581792e+01 2.27370768e+01
 2.27281160e+01 2.27106022e+01 2.26795433e+01 2.26421085e+01
 2.26397716e+01 2.26391368e+01 2.26260912e+01 2.26130751e+01
 1.93672593e+01 8.28362963e+00 1.30456051e-02] with error 0.1
EYD tableau: [47, 40, 36, 32, 27, 24, 23, 18, 15, 11, 11, 7, 6, 3, 0] with error 0.1663
MLE tableau: [2.15281160e+01 2.15106022e+01 2.14836296e+01 2.14795433e+01
 2.14421085e+01 2.14397716e+01 2.14391368e+01 2.14260912e+01
 2.14130751e+01 2.13862908e+01 2.13760739e+01 2.13672593e+01
 2.13581792e+01 2.13370768e+01 1.30456051e-02] with error 0.1207
EYD tableau: [54, 46, 38, 30, 27, 23, 21, 15, 13, 10, 9, 6, 5, 2, 1] with error 0.2052
MLE tableau: [37.31060217 37.13707685 37.12811604 18.04210851 18.03913682 18.01307513
 17.98629083 17.97607389 17.96725927 17.95817917 17.87954325 12.62609121
 12.48362963 12.43977163  7.01304561] with error 0.1055
EYD tableau: [51, 42, 40, 32, 31, 24, 23, 18, 10, 10, 8, 5, 3, 3, 0] with error 0.2129
MLE tableau: [2.77106022e+01 2.76795433e+01 2.76421085e+01 2.76391368e+01
 2.76130751e+01 2.75862908e+01 2.75672593e+01 2.75370768e+01
 2.75281160e+01 1.03760739e+01 1.03581792e+01 1.02836296e+01
 1.02397716e+01 1.02260912e+01 1.30456051e-02] with error 0.0995
EYD tableau: [55, 40, 33, 29, 25, 24, 22, 17, 13, 11, 11, 9, 6, 3, 2] with error 0.1637
MLE tableau: [45.71060217 18.23977163 18.23913682 18.22609121 18.21307513 18.21304561
 18.18629083 18.17607389 18.16725927 18.15817917 18.13707685 18.12811604
 18.08362963 18.07954325 18.04210851] with error 0.1511
EYD tableau: [54, 40, 34, 30, 27, 24, 23, 18, 16, 13, 7, 6, 5, 3, 0] with error 0.1763
MLE tableau: [4.29106022e+01 1.98421085e+01 1.98397716e+01 1.98391368e+01
 1.98260912e+01 1.98130751e+01 1.97862908e+01 1.97760739e+01
 1.97672593e+01 1.97581792e+01 1.97370768e+01 1.97281160e+01
 1.96836296e+01 1.96795433e+01 1.30456051e-02] with error 0.1335
EYD tableau: [58, 48, 34, 27, 24, 21, 20, 16, 14, 14, 8, 8, 5, 3, 0] with error 0.1938
MLE tableau: [4.57106022e+01 4.55370768e+01 1.74795433e+01 1.74421085e+01
 1.74397716e+01 1.74391368e+01 1.74260912e+01 1.74130751e+01
 1.73862908e+01 1.73760739e+01 1.73672593e+01 1.73581792e+01
 1.73281160e+01 1.72836296e+01 1.30456051e-02] with error 0.1647
EYD tableau: [47, 42, 38, 34, 27, 23, 18, 15, 14, 11, 10, 7, 7, 4, 3] with error 0.1819
MLE tableau: [25.33707685 25.32811604 25.31060217 25.27954325 25.24210851 25.18629083
 16.57607389 16.56725927 16.55817917 16.48362963 16.43977163 16.43913682
 16.42609121 16.41307513 16.41304561] with error 0.0751
EYD tableau: [51, 42, 37, 34, 27, 20, 19, 16, 13, 12, 9, 7, 6, 5, 2] with error 0.1919
MLE tableau: [30.73707685 30.72811604 30.71060217 30.67954325 16.21304561 16.18629083
 16.17607389 16.16725927 16.15817917 16.08362963 16.04210851 16.03977163
 16.03913682 16.02609121 16.01307513] with error 0.1085
EYD tableau: [47, 36, 34, 33, 25, 24, 23, 18, 17, 13, 13, 9, 5, 2, 1] with error 0.1429
MLE tableau: [21.24210851 21.23977163 21.23913682 21.22609121 21.21307513 21.18629083
 21.17607389 21.16725927 21.15817917 21.13707685 21.12811604 21.11060217
 21.08362963 21.07954325  3.61304561] with error 0.1147
EYD tableau: [53, 40, 37, 34, 30, 22, 21, 16, 14, 12, 8, 7, 4, 1, 1] with error 0.2019
MLE tableau: [39.31060217 21.32811604 21.27954325 21.24210851 21.23977163 21.23913682
 21.22609121 21.21307513 21.18629083 21.17607389 21.16725927 21.15817917
 21.13707685  3.08362963  3.01304561] with error 0.1155
EYD tableau: [51, 42, 38, 34, 28, 22, 18, 17, 16, 13, 9, 7, 2, 2, 1] with error 0.1985
MLE tableau: [24.03913682 24.02609121 24.01307513 23.98629083 23.97607389 23.96725927
 23.95817917 23.93707685 23.92811604 23.91060217 23.87954325 23.84210851
  4.23977163  4.21304561  4.08362963] with error 0.1053
EYD tableau: [50, 41, 36, 28, 26, 25, 21, 16, 14, 13, 10, 8, 6, 4, 2] with error 0.1637
MLE tableau: [34.32811604 19.04210851 19.03977163 19.03913682 19.02609121 19.01307513
 19.01304561 18.98629083 18.97607389 18.96725927 18.95817917 18.93707685
 18.91060217 18.88362963 18.87954325] with error 0.1295
EYD tableau: [52, 43, 39, 29, 26, 24, 22, 18, 16, 14, 7, 6, 3, 1, 0] with error 0.1871
MLE tableau: [2.42391368e+01 2.42260912e+01 2.42130751e+01 2.41862908e+01
 2.41760739e+01 2.41672593e+01 2.41581792e+01 2.41370768e+01
 2.41281160e+01 2.41106022e+01 2.40795433e+01 2.40421085e+01
 5.08362963e+00 5.03977163e+00 1.30456051e-02] with error 0.11
EYD tableau: [52, 44, 34, 30, 29, 24, 19, 17, 16, 11, 8, 7, 4, 4, 1] with error 0.1871
MLE tableau: [35.33707685 35.31060217 19.76725927 19.75817917 19.72811604 19.67954325
 19.64210851 19.63913682 19.62609121 19.61307513 19.58629083 19.57607389
 11.01304561 10.88362963 10.83977163] with error 0.0908
EYD tableau: [47, 45, 36, 33, 28, 22, 19, 17, 14, 11, 11, 8, 5, 3, 1] with error 0.1852
MLE tableau: [25.72811604 25.71060217 25.67954325 25.64210851 25.58629083 25.53707685
 17.62609121 17.61307513 17.57607389 17.56725927 17.55817917 17.48362963
 17.43977163 17.43913682  5.81304561] with error 0.061
EYD tableau: [52, 40, 37, 30, 26, 22, 21, 20, 15, 13, 11, 8, 4, 1, 0] with error 0.1719
MLE tableau: [2.29581792e+01 2.29370768e+01 2.29281160e+01 2.29106022e+01
 2.28795433e+01 2.28421085e+01 2.28397716e+01 2.28391368e+01
 2.28260912e+01 2.28130751e+01 2.27862908e+01 2.27760739e+01
 2.27672593e+01 2.88362963e+00 1.30456051e-02] with error 0.1148
EYD tableau: [53, 40, 32, 30, 28, 26, 19, 16, 14, 12, 9, 8, 6, 5, 2] with error 0.1737
MLE tableau: [42.11060217 18.52811604 18.48362963 18.47954325 18.44210851 18.43977163
 18.43913682 18.42609121 18.41307513 18.41304561 18.38629083 18.37607389
 18.36725927 18.35817917 18.33707685] with error 0.1445
EYD tableau: [50, 43, 37, 33, 28, 24, 17, 17, 12, 10, 8, 7, 6, 6, 2] with error 0.1937
MLE tableau: [28.13707685 28.12811604 28.11060217 28.07954325 28.04210851 27.98629083
 14.68362963 14.63977163 14.63913682 14.62609121 14.61307513 14.61304561
 14.57607389 14.56725927 14.55817917] with error 0.0838
EYD tableau: [56, 44, 36, 31, 26, 24, 19, 18, 15, 9, 6, 6, 6, 3, 1] with error 0.2004
MLE tableau: [45.71060217 23.52811604 23.47954325 23.44210851 23.43913682 23.41307513
 23.38629083 23.36725927 23.33707685 11.22609121 11.21304561 11.17607389
 11.15817917 11.08362963 11.03977163] with error 0.095
EYD tableau: [47, 40, 36, 32, 26, 24, 20, 19, 17, 12, 9, 6, 6, 4, 2] with error 0.1604
MLE tableau: [20.55817917 20.53707685 20.52811604 20.51060217 20.48362963 20.47954325
 20.44210851 20.43977163 20.43913682 20.42609121 20.41307513 20.41304561
 20.38629083 20.36725927 13.57607389] with error 0.1204
EYD tableau: [57, 44, 37, 32, 29, 24, 20, 14, 12, 10, 9, 6, 3, 2, 1] with error 0.2204
MLE tableau: [46.11060217 26.07954325 26.04210851 26.03913682 25.98629083 25.96725927
 25.93707685 25.92811604 10.37607389 10.35817917 10.28362963 10.23977163
 10.22609121 10.21307513 10.21304561] with error 0.1105
EYD tableau: [45, 44, 40, 33, 30, 20, 20, 19, 15, 12, 8, 7, 5, 2, 0] with error 0.1952
MLE tableau: [2.37281160e+01 2.37106022e+01 2.36795433e+01 2.36421085e+01
 2.36391368e+01 2.36130751e+01 2.35862908e+01 2.35760739e+01
 2.35672593e+01 2.35581792e+01 2.35370768e+01 1.34397716e+01
 1.34260912e+01 1.32836296e+01 1.30456051e-02] with error 0.0794
EYD tableau: [47, 42, 38, 35, 26, 25, 20, 17, 14, 12, 9, 7, 4, 2, 2] with error 0.1871
MLE tableau: [23.83913682 23.81307513 23.78629083 23.77607389 23.76725927 23.75817917
 23.73707685 23.72811604 23.71060217 23.67954325 23.64210851  9.81304561
  9.68362963  9.63977163  9.62609121] with error 0.0782
EYD tableau: [61, 44, 33, 31, 28, 24, 16, 15, 11, 10, 10, 7, 4, 3, 3] with error 0.2137
MLE tableau: [53.51060217 34.73707685 16.38629083 16.37607389 16.36725927 16.35817917
 16.32811604 16.28362963 16.27954325 16.24210851 16.23977163 16.23913682
 16.22609121 16.21307513 16.21304561] with error 0.1704
EYD tableau: [49, 42, 41, 35, 30, 23, 18, 15, 13, 13, 9, 6, 3, 2, 1] with error 0.2119
MLE tableau: [28.51060217 28.47954325 28.44210851 28.43913682 28.38629083 28.33707685
 28.32811604 16.35817917 16.22609121 16.21307513 16.17607389 16.16725927
  6.68362963  6.63977163  6.61304561] with error 0.0711
EYD tableau: [53, 46, 37, 35, 26, 23, 19, 16, 13, 11, 8, 7, 4, 1, 1] with error 0.2119
MLE tableau: [34.27954325 34.13707685 34.12811604 34.11060217 17.35817917 17.24210851
 17.23977163 17.23913682 17.22609121 17.21307513 17.18629083 17.17607389
 17.16725927  4.21304561  4.08362963] with error 0.117
EYD tableau: [49, 38, 38, 31, 28, 26, 22, 19, 15, 10, 9, 8, 6, 1, 0] with error 0.1771
MLE tableau: [2.29581792e+01 2.29370768e+01 2.29281160e+01 2.29106022e+01
 2.28795433e+01 2.28421085e+01 2.28397716e+01 2.28391368e+01
 2.28260912e+01 2.28130751e+01 2.27862908e+01 2.27760739e+01
 2.27672593e+01 2.88362963e+00 1.30456051e-02] with error 0.1148
EYD tableau: [46, 41, 36, 31, 26, 24, 24, 18, 14, 11, 9, 9, 7, 3, 1] with error 0.1629
MLE tableau: [21.17607389 21.16725927 21.15817917 21.13707685 21.12811604 21.11060217
 21.08362963 21.07954325 21.04210851 21.03977163 21.03913682 21.02609121
 21.01307513 20.98629083  4.81304561] with error 0.1125
EYD tableau: [50, 47, 39, 33, 25, 23, 20, 14, 14, 10, 9, 7, 4, 3, 2] with error 0.2019
MLE tableau: [34.47954325 34.33707685 34.32811604 34.31060217 14.83977163 14.83913682
 14.82609121 14.81307513 14.81304561 14.78629083 14.77607389 14.76725927
 14.75817917 14.68362963 14.64210851] with error 0.1398
EYD tableau: [48, 43, 40, 34, 27, 23, 19, 16, 12, 11, 9, 9, 6, 2, 1] with error 0.1952
MLE tableau: [28.78629083 28.73707685 28.72811604 28.71060217 28.67954325 28.64210851
 14.23977163 14.23913682 14.22609121 14.21307513 14.21304561 14.17607389
 14.16725927 14.15817917 14.08362963] with error 0.0902
EYD tableau: [47, 38, 35, 31, 29, 24, 21, 17, 16, 11, 10, 10, 6, 4, 1] with error 0.1571
MLE tableau: [20.08362963 20.07954325 20.04210851 20.03977163 20.03913682 20.02609121
 20.01307513 20.01304561 19.98629083 19.97607389 19.96725927 19.95817917
 19.93707685 19.92811604 19.91060217] with error 0.1325
EYD tableau: [51, 44, 38, 34, 29, 25, 22, 18, 13, 10, 7, 5, 3, 1, 0] with error 0.2137
MLE tableau: [2.69581792e+01 2.69370768e+01 2.69281160e+01 2.69106022e+01
 2.68795433e+01 2.68421085e+01 2.68391368e+01 2.68130751e+01
 2.67862908e+01 2.67672593e+01 7.88362963e+00 7.83977163e+00
 7.82609121e+00 7.77607389e+00 1.30456051e-02] with error 0.1112
EYD tableau: [53, 39, 36, 33, 26, 24, 20, 17, 16, 10, 9, 7, 6, 3, 1] with error 0.1804
MLE tableau: [41.51060217 19.47954325 19.44210851 19.43977163 19.43913682 19.42609121
 19.41307513 19.41304561 19.38629083 19.37607389 19.36725927 19.35817917
 19.33707685 19.32811604  6.28362963] with error 0.1223
EYD tableau: [51, 44, 37, 34, 29, 25, 20, 16, 13, 11, 7, 6, 3, 2, 2] with error 0.2104
MLE tableau: [27.21307513 27.18629083 27.16725927 27.13707685 27.12811604 27.11060217
 27.07954325 27.04210851 27.03913682  9.41304561  9.37607389  9.35817917
  9.28362963  9.23977163  9.22609121] with error 0.0942
EYD tableau: [55, 46, 36, 30, 25, 23, 19, 19, 15, 11, 9, 7, 3, 2, 0] with error 0.1952
MLE tableau: [4.11370768e+01 4.11106022e+01 1.82391368e+01 1.82260912e+01
 1.82130751e+01 1.81862908e+01 1.81760739e+01 1.81672593e+01
 1.81581792e+01 1.81281160e+01 1.80836296e+01 1.80795433e+01
 1.80421085e+01 1.80397716e+01 1.30456051e-02] with error 0.1444
EYD tableau: [53, 38, 35, 32, 30, 24, 19, 18, 13, 11, 9, 8, 7, 2, 1] with error 0.1837
MLE tableau: [41.31060217 19.63977163 19.63913682 19.62609121 19.61307513 19.58629083
 19.57607389 19.56725927 19.55817917 19.53707685 19.52811604 19.48362963
 19.47954325 19.44210851  4.41304561] with error 0.124
EYD tableau: [47, 36, 33, 31, 28, 25, 23, 19, 17, 13, 10, 7, 5, 4, 2] with error 0.1463
MLE tableau: [20.08362963 20.07954325 20.04210851 20.03977163 20.03913682 20.02609121
 20.01307513 20.01304561 19.98629083 19.97607389 19.96725927 19.95817917
 19.93707685 19.92811604 19.91060217] with error 0.1325
EYD tableau: [59, 41, 34, 32, 29, 24, 21, 19, 13, 11, 7, 6, 4, 0, 0] with error 0.2071
MLE tableau: [5.07106022e+01 2.08397716e+01 2.08391368e+01 2.08260912e+01
 2.08130751e+01 2.07862908e+01 2.07760739e+01 2.07672593e+01
 2.07581792e+01 2.07370768e+01 2.07281160e+01 2.06795433e+01
 2.06421085e+01 8.36296333e-02 1.30456051e-02] with error 0.1451
EYD tableau: [52, 42, 40, 33, 28, 25, 22, 16, 14, 11, 7, 5, 3, 2, 0] with error 0.2104
MLE tableau: [2.65581792e+01 2.65370768e+01 2.65281160e+01 2.65106022e+01
 2.64795433e+01 2.64421085e+01 2.64391368e+01 2.64130751e+01
 2.63862908e+01 2.63672593e+01 8.88362963e+00 8.83977163e+00
 8.82609121e+00 8.77607389e+00 1.30456051e-02] with error 0.1012
EYD tableau: [47, 40, 35, 35, 29, 24, 21, 16, 15, 12, 10, 7, 6, 3, 0] with error 0.1771
MLE tableau: [2.15281160e+01 2.15106022e+01 2.14836296e+01 2.14795433e+01
 2.14421085e+01 2.14397716e+01 2.14391368e+01 2.14260912e+01
 2.14130751e+01 2.13862908e+01 2.13760739e+01 2.13672593e+01
 2.13581792e+01 2.13370768e+01 1.30456051e-02] with error 0.1207
EYD tableau: [54, 48, 39, 34, 29, 25, 18, 14, 13, 10, 6, 5, 3, 1, 1] with error 0.2404
