CPU counts:  24
gradient ascent n=100, tries=300, d=3, alpha=[0.41773767 0.34108138 0.24118095]
MLE tableau: [44.77376677 27.70813774 27.51809549] with error 0.064
EYD tableau: [49, 33, 18] with error 0.0723
MLE tableau: [44.97376677 34.90813774 20.11809549] with error 0.04
EYD tableau: [45, 34, 21] with error 0.0323
MLE tableau: [37.70813774 37.57376677 24.71809549] with error 0.0407
EYD tableau: [50, 32, 18] with error 0.0823
MLE tableau: [46.97376677 32.50813774 20.51809549] with error 0.052
EYD tableau: [41, 38, 21] with error 0.0389
MLE tableau: [37.57376677 37.50813774 24.91809549] with error 0.042
EYD tableau: [45, 32, 23] with error 0.0323
MLE tableau: [38.57376677 30.71809549 30.70813774] with error 0.0659
EYD tableau: [47, 31, 22] with error 0.0523
MLE tableau: [43.17376677 28.50813774 28.31809549] with error 0.056
EYD tableau: [48, 33, 19] with error 0.0623
MLE tableau: [43.37376677 35.10813774 21.51809549] with error 0.026
EYD tableau: [49, 32, 19] with error 0.0723
MLE tableau: [45.77376677 32.30813774 21.91809549] with error 0.04
EYD tableau: [50, 28, 22] with error 0.0823
MLE tableau: [47.57376677 26.30813774 26.11809549] with error 0.078
EYD tableau: [51, 32, 17] with error 0.0923
MLE tableau: [48.17376677 32.70813774 19.11809549] with error 0.064
EYD tableau: [52, 27, 21] with error 0.1023
MLE tableau: [49.97376677 25.10813774 24.91809549] with error 0.09
EYD tableau: [42, 38, 20] with error 0.0412
MLE tableau: [38.57376677 38.50813774 22.91809549] with error 0.044
EYD tableau: [44, 35, 21] with error 0.0312
MLE tableau: [37.70813774 37.57376677 24.71809549] with error 0.0407
EYD tableau: [44, 31, 25] with error 0.0311
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [41, 33, 26] with error 0.0188
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [42, 33, 25] with error 0.0111
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [43, 39, 18] with error 0.0612
MLE tableau: [40.10813774 39.97376677 19.91809549] with error 0.0587
EYD tableau: [45, 31, 24] with error 0.0323
MLE tableau: [37.97376677 31.10813774 30.91809549] with error 0.068
EYD tableau: [42, 38, 20] with error 0.0412
MLE tableau: [38.57376677 38.50813774 22.91809549] with error 0.044
EYD tableau: [48, 35, 17] with error 0.0712
