CPU counts:  24
n=120, tol=120, tries=150, dist_try=0.5, d=3, alpha=[0.41773767 0.34108138 0.24118095]
EYD tableau: [49, 40, 31] with error 0.0172
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [56, 36, 28] with error 0.0489
MLE tableau: [52. 34. 34.] with error 0.0577
EYD tableau: [51, 45, 24] with error 0.0412
MLE tableau: [47. 46. 27.] with error 0.0423
EYD tableau: [57, 41, 22] with error 0.0578
MLE tableau: [50. 46. 24.] with error 0.0423
EYD tableau: [54, 44, 22] with error 0.0578
MLE tableau: [48. 48. 24.] with error 0.0589
EYD tableau: [54, 39, 27] with error 0.0323
MLE tableau: [49. 37. 34.] with error 0.0422
EYD tableau: [50, 40, 30] with error 0.0088
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [58, 37, 25] with error 0.0656
MLE tableau: [55. 33. 32.] with error 0.0661
EYD tableau: [58, 40, 22] with error 0.0656
MLE tableau: [54. 42. 24.] with error 0.0412
EYD tableau: [53, 45, 22] with error 0.0578
MLE tableau: [48. 48. 24.] with error 0.0589
EYD tableau: [54, 42, 24] with error 0.0412
MLE tableau: [47. 46. 27.] with error 0.0423
EYD tableau: [54, 43, 23] with error 0.0495
MLE tableau: [48. 47. 25.] with error 0.0506
EYD tableau: [55, 44, 21] with error 0.0662
MLE tableau: [49. 48. 23.] with error 0.0589
EYD tableau: [59, 33, 28] with error 0.0739
MLE tableau: [56. 32. 32.] with error 0.0744
EYD tableau: [53, 45, 22] with error 0.0578
MLE tableau: [48. 48. 24.] with error 0.0589
EYD tableau: [58, 35, 27] with error 0.0656
MLE tableau: [55. 33. 32.] with error 0.0661
EYD tableau: [54, 44, 22] with error 0.0578
MLE tableau: [48. 48. 24.] with error 0.0589
EYD tableau: [54, 37, 29] with error 0.0327
MLE tableau: [49. 36. 35.] with error 0.0505
EYD tableau: [60, 36, 24] with error 0.0823
MLE tableau: [58. 31. 31.] with error 0.0827
EYD tableau: [53, 42, 25] with error 0.0328
MLE tableau: [46. 46. 28.] with error 0.0423
EYD tableau: [55, 39, 26] with error 0.0406
MLE tableau: [50. 39. 31.] with error 0.0172
EYD tableau: [60, 41, 19] with error 0.0828
MLE tableau: [56. 44. 20.] with error 0.0745
EYD tableau: [53, 44, 23] with error 0.0495
MLE tableau: [48. 47. 25.] with error 0.0506
EYD tableau: [54, 37, 29] with error 0.0327
MLE tableau: [49. 36. 35.] with error 0.0505
EYD tableau: [55, 39, 26] with error 0.0406
MLE tableau: [50. 39. 31.] with error 0.0172
EYD tableau: [60, 39, 21] with error 0.0823
MLE tableau: [57. 40. 23.] with error 0.0573
EYD tableau: [56, 41, 23] with error 0.0495
MLE tableau: [48. 47. 25.] with error 0.0506
EYD tableau: [51, 41, 28] with error 0.0078
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [52, 46, 22] with error 0.0578
MLE tableau: [48. 48. 24.] with error 0.0589
EYD tableau: [57, 34, 29] with error 0.0577
MLE tableau: [54. 33. 33.] with error 0.0661
EYD tableau: [54, 40, 26] with error 0.0323
MLE tableau: [45. 45. 30.] with error 0.0427
EYD tableau: [57, 44, 19] with error 0.0828
MLE tableau: [50. 50. 20.] with error 0.0756
EYD tableau: [55, 41, 24] with error 0.0412
MLE tableau: [47. 46. 27.] with error 0.0423
EYD tableau: [62, 37, 21] with error 0.0989
MLE tableau: [60. 37. 23.] with error 0.0823
EYD tableau: [54, 43, 23] with error 0.0495
MLE tableau: [48. 47. 25.] with error 0.0506
EYD tableau: [58, 40, 22] with error 0.0656
MLE tableau: [54. 42. 24.] with error 0.0412
EYD tableau: [54, 39, 27] with error 0.0323
